ixdat version = 0.2.2dev
name = 2022-04-06 14_48_52 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649249332.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
83.79820990562439,	0.00180522,	0.0002460807,	0,	10.419320106506348,	3.247448e-12,	10.27032995223999,	2.032344e-10,	10.196330070495605,	4.053397e-09,	10.121340036392212,	3.755293e-08,	10.345319986343384,	2.237639e-10,	10.494319915771484,	6.35902e-11,	10.047339916229248,	2.221332e-09
83.9710099697113,	0.001774702,	0.0002430269,	0,	10.98169994354248,	3.067714e-12,	10.832720041275024,	2.048492e-10,	10.758729934692383,	4.099578e-09,	10.683729887008667,	3.736116e-08,	10.907710075378418,	2.254737e-10,	11.056699991226196,	6.361574e-11,	10.609740018844604,	2.215953e-09
84.14541006088257,	0.001770897,	0.0002334839,	0,	11.544650077819824,	3.095307e-12,	11.395659923553467,	2.000796e-10,	11.320669889450073,	4.073223e-09,	11.24668002128601,	3.750211e-08,	11.469650030136108,	2.236796e-10,	11.618639945983887,	6.319997e-11,	11.171679973602295,	2.220382e-09
84.3000099658966,	0.001770897,	0.0002430269,	0,	12.108350038528442,	3.212047e-12,	11.959350109100342,	2.028627e-10,	11.884350061416626,	4.078806e-09,	11.810359954833984,	3.754213e-08,	12.033349990844727,	2.228725e-10,	12.182339906692505,	6.392016e-11,	11.735359907150269,	2.213298e-09
84.45561003684998,	0.001744109,	0.0002571506,	0,	12.66985011100769,	3.183499e-12,	12.520859956741333,	2.015124e-10,	12.446860074996948,	4.0597e-09,	12.371870040893555,	3.741133e-08,	12.595849990844727,	2.238233e-10,	12.744839906692505,	6.424104e-11,	12.29786992073059,	2.217553e-09
84.6264100074768,	0.001782388,	0.0002491344,	0,	13.232889890670776,	3.113027e-12,	13.08390998840332,	2.030189e-10,	13.008909940719604,	4.055794e-09,	12.934920072555542,	3.725868e-08,	13.157900094985962,	2.239492e-10,	13.30689001083374,	6.411429e-11,	12.859920024871826,	2.20205e-09
84.78280997276306,	0.001767091,	0.0002533333,	0,	13.795639991760254,	3.142015e-12,	13.646650075912476,	2.003955e-10,	13.571660041809082,	4.082735e-09,	13.497659921646118,	3.74167e-08,	13.720639944076538,	2.233141e-10,	13.869630098342896,	6.37078e-11,	13.422669887542725,	2.200641e-09
84.93900990486145,	0.001767091,	0.0002334839,	0,	14.358109951019287,	3.192645e-12,	14.209120035171509,	1.991931e-10,	14.135119915008545,	4.080718e-09,	14.060120105743408,	3.74621e-08,	14.284110069274902,	2.225764e-10,	14.433109998703003,	6.38677e-11,	13.986129999160767,	2.201255e-09
85.09481000900269,	0.001793804,	0.000251043,	0,	14.920949935913086,	3.204716e-12,	14.771960020065308,	2.034606e-10,	14.697969913482666,	4.078519e-09,	14.62297010421753,	3.71451e-08,	14.846960067749023,	2.237463e-10,	14.995949983596802,	6.247797e-11,	14.548979997634888,	2.209197e-09
85.27581000328064,	0.00175948,	0.0002498979,	0,	15.483920097351074,	3.130211e-12,	15.334929943084717,	2.017403e-10,	15.259939908981323,	4.028719e-09,	15.185940027236938,	3.732908e-08,	15.40893006324768,	2.241437e-10,	15.557919979095459,	6.324715e-11,	15.110939979553223,	2.206088e-09
85.43741011619568,	0.00179761,	0.0002407366,	0,	16.04589009284973,	3.069283e-12,	15.896899938583374,	2.011273e-10,	15.82290005683899,	4.07992e-09,	15.747900009155273,	3.755304e-08,	15.971889972686768,	2.223089e-10,	16.120879888534546,	6.261913e-11,	15.673909902572632,	2.209653e-09
85.59420990943909,	0.001793804,	0.0002426452,	0,	16.607939958572388,	3.07663e-12,	16.45895004272461,	2.006819e-10,	16.384959936141968,	4.009131e-09,	16.309969902038574,	3.714725e-08,	16.533950090408325,	2.237745e-10,	16.68292999267578,	6.343956e-11,	16.23598003387451,	2.205819e-09
85.76560997962952,	0.001770897,	0.0002514247,	0,	17.17186999320984,	3.023766e-12,	17.02287006378174,	2.010666e-10,	16.947880029678345,	4.040116e-09,	16.87387990951538,	3.733085e-08,	17.096869945526123,	2.238711e-10,	17.24586009979248,	6.348005e-11,	16.798890113830566,	2.210562e-09
85.92220997810364,	0.001789999,	0.0002323387,	0,	17.73421001434326,	3.191449e-12,	17.585220098495483,	2.006668e-10,	17.51023006439209,	4.078453e-09,	17.43623995780945,	3.756032e-08,	17.659219980239868,	2.237855e-10,	17.808199882507324,	6.364759e-11,	17.361239910125732,	2.205997e-09
86.09481000900269,	0.001782313,	0.0002384463,	0,	18.29661989212036,	2.996594e-12,	18.147629976272583,	2.002182e-10,	18.0736300945282,	4.03352e-09,	17.998640060424805,	3.725249e-08,	18.222620010375977,	2.235963e-10,	18.371609926223755,	6.32203e-11,	17.92463994026184,	2.218001e-09
86.25001001358032,	0.001782313,	0.0002460807,	0,	18.859649896621704,	3.156471e-12,	18.710659980773926,	1.999371e-10,	18.63565993309021,	4.101665e-09,	18.561670064926147,	3.745502e-08,	18.784650087356567,	2.244038e-10,	18.933650016784668,	6.300541e-11,	18.48667001724243,	2.213939e-09
86.42220997810364,	0.001770897,	0.0002453172,	0,	19.422620058059692,	3.012314e-12,	19.273619890213013,	1.994876e-10,	19.1986300945282,	4.087394e-09,	19.124629974365234,	3.746206e-08,	19.347620010375977,	2.240606e-10,	19.496609926223755,	6.262046e-11,	19.04963994026184,	2.21779e-09
86.59381008148193,	0.001728813,	0.0002243226,	0,	19.984440088272095,	3.062994e-12,	19.835449934005737,	2.011818e-10,	19.761460065841675,	4.092528e-09,	19.68646001815796,	3.719518e-08,	19.910449981689453,	2.19874e-10,	20.05943989753723,	6.339887e-11,	19.612469911575317,	2.207477e-09
86.75001001358032,	0.001767091,	0.0002495161,	0,	20.547070026397705,	3.030332e-12,	20.398080110549927,	2.006832e-10,	20.324090003967285,	4.077914e-09,	20.24908995628357,	3.727963e-08,	20.47306990623474,	2.235067e-10,	20.6220600605011,	6.315381e-11,	20.175100088119507,	2.206135e-09
86.90681004524231,	0.001740378,	0.0002334839,	0,	21.11040997505188,	3.052168e-12,	20.9614200592041,	2.010444e-10,	20.886420011520386,	4.074006e-09,	20.812429904937744,	3.728595e-08,	21.035409927368164,	2.234537e-10,	21.18440008163452,	6.388185e-11,	20.737430095672607,	2.205979e-09
87.06280994415283,	0.001778508,	0.0002392097,	0,	21.67255997657776,	3.108493e-12,	21.52357006072998,	2.005028e-10,	21.449569940567017,	4.058967e-09,	21.374579906463623,	3.688734e-08,	21.598560094833374,	2.23222e-10,	21.747550010681152,	6.242516e-11,	21.30058002471924,	2.20294e-09
87.21701002120972,	0.001744184,	0.0002449355,	0,	22.23515009880066,	3.098471e-12,	22.0861599445343,	2.009498e-10,	22.01217007637024,	4.105299e-09,	21.937170028686523,	3.741012e-08,	22.161159992218018,	2.205149e-10,	22.310149908065796,	6.228204e-11,	21.863179922103882,	2.212311e-09
87.38961005210876,	0.001782313,	0.0002453172,	0,	22.798059940338135,	3.042674e-12,	22.649070024490356,	2.02744e-10,	22.574079990386963,	4.088368e-09,	22.500080108642578,	3.744998e-08,	22.72306990623474,	2.236969e-10,	22.872050046920776,	6.383215e-11,	22.425090074539185,	2.214111e-09
87.5474100112915,	0.001759406,	0.0002495161,	0,	23.3610200881958,	3.119337e-12,	23.212029933929443,	2.017386e-10,	23.137029886245728,	4.075194e-09,	23.063040018081665,	3.740482e-08,	23.286020040512085,	2.24365e-10,	23.435009956359863,	6.301668e-11,	22.98804998397827,	2.212942e-09
87.71741008758545,	0.001786193,	0.0002495162,	0,	23.923280000686646,	2.902092e-12,	23.774290084838867,	2.02517e-10,	23.700289964675903,	4.063029e-09,	23.62529993057251,	3.724173e-08,	23.84928011894226,	2.230784e-10,	23.99828004837036,	6.372336e-11,	23.551300048828125,	2.210302e-09
87.8738100528717,	0.001797609,	0.0002472258,	0,	24.486779928207397,	3.097813e-12,	24.337779998779297,	2.030667e-10,	24.26277995109558,	4.041846e-09,	24.18879008293152,	3.76149e-08,	24.41178011894226,	2.232756e-10,	24.56077003479004,	6.347147e-11,	24.113790035247803,	2.203784e-09
88.03021001815796,	0.001774777,	0.0002304301,	0,	25.048799991607666,	3.098137e-12,	24.89982008934021,	2.008227e-10,	24.824820041656494,	4.079632e-09,	24.750829935073853,	3.710587e-08,	24.973809957504272,	2.204729e-10,	25.12280011177063,	6.375284e-11,	24.675829887390137,	2.213187e-09
88.18620991706848,	0.001736498,	0.0002289033,	0,	25.610899925231934,	3.078869e-12,	25.461910009384155,	2.030912e-10,	25.387919902801514,	4.048067e-09,	25.312920093536377,	3.714266e-08,	25.53691005706787,	2.243649e-10,	25.68589997291565,	6.596278e-11,	25.238929986953735,	2.207471e-09
88.34140992164612,	0.0017556,	0.0002525699,	0,	26.173670053482056,	3.045735e-12,	26.0246798992157,	2.039325e-10,	25.950690031051636,	4.042884e-09,	25.87568998336792,	3.712572e-08,	26.099669933319092,	2.238447e-10,	26.24866008758545,	6.163423e-11,	25.801700115203857,	2.196787e-09
88.53680992126465,	0.001786119,	0.0002472258,	0,	26.73661994934082,	3.088387e-12,	26.587630033493042,	2.015386e-10,	26.51263999938965,	4.058168e-09,	26.438649892807007,	3.709195e-08,	26.661629915237427,	2.230268e-10,	26.810620069503784,	6.31379e-11,	26.36365008354187,	2.202976e-09
88.71561002731323,	0.001832008,	0.0002407366,	0,	27.298029899597168,	2.826973e-12,	27.14903998374939,	2.020714e-10,	27.075050115585327,	4.088123e-09,	27.000060081481934,	3.69588e-08,	27.224040031433105,	2.227952e-10,	27.37301993370056,	6.405847e-11,	26.926069974899292,	2.202767e-09
88.87280988693237,	0.001759406,	0.0002434086,	0,	27.862020015716553,	3.124803e-12,	27.713030099868774,	2.028525e-10,	27.63902997970581,	4.034597e-09,	27.564039945602417,	3.705826e-08,	27.78801989555359,	2.228287e-10,	27.937010049819946,	6.401512e-11,	27.490040063858032,	2.216406e-09
89.0292100906372,	0.001740304,	0.0002411183,	0,	28.42462992668152,	3.066685e-12,	28.27564001083374,	2.01373e-10,	28.200649976730347,	4.088631e-09,	28.126650094985962,	3.71581e-08,	28.349639892578125,	2.238591e-10,	28.49862003326416,	6.335087e-11,	28.05166006088257,	2.208362e-09
89.18741011619568,	0.001816712,	0.0002491344,	0,	28.987890005111694,	3.063611e-12,	28.838900089263916,	2.012667e-10,	28.7639000415802,	4.045745e-09,	28.68990993499756,	3.709079e-08,	28.91288995742798,	2.235828e-10,	29.061880111694336,	6.322015e-11,	28.614909887313843,	2.207993e-09
89.34260988235474,	0.001793804,	0.0002521882,	0,	29.54986000061035,	3.105737e-12,	29.400870084762573,	2.017847e-10,	29.32686996459961,	4.062592e-09,	29.251879930496216,	3.721874e-08,	29.475860118865967,	2.240166e-10,	29.624850034713745,	6.252348e-11,	29.17788004875183,	2.218393e-09
89.49940991401672,	0.001812906,	0.0002506613,	0,	30.113120079040527,	2.999153e-12,	29.96412992477417,	2.020518e-10,	29.889130115509033,	4.031463e-09,	29.81514000892639,	3.739658e-08,	30.03812003135681,	2.228455e-10,	30.187119960784912,	6.437528e-11,	29.740139961242676,	2.207452e-09
89.6724100112915,	0.001774702,	0.0002498979,	0,	30.676090002059937,	3.022394e-12,	30.527100086212158,	1.997649e-10,	30.452100038528442,	4.087422e-09,	30.3781099319458,	3.72411e-08,	30.60108995437622,	2.235137e-10,	30.750080108642578,	6.234556e-11,	30.303109884262085,	2.205117e-09
89.85941004753113,	0.001767016,	0.0002437904,	0,	31.23774003982544,	3.025011e-12,	31.088749885559082,	1.992288e-10,	31.014750003814697,	4.053858e-09,	30.939759969711304,	3.688611e-08,	31.163739919662476,	2.232988e-10,	31.312730073928833,	6.349619e-11,	30.86576008796692,	2.206428e-09
90.01621007919312,	0.00180149,	0.0002460807,	0,	31.80110001564026,	2.987314e-12,	31.65211009979248,	2.017042e-10,	31.578109979629517,	4.033403e-09,	31.503119945526123,	3.720011e-08,	31.727099895477295,	2.217081e-10,	31.876100063323975,	6.277153e-11,	31.42912006378174,	2.207577e-09
90.17340993881226,	0.001782313,	0.0002411183,	0,	32.36385989189148,	3.006284e-12,	32.2148699760437,	2.000143e-10,	32.139869928359985,	4.103785e-09,	32.06588006019592,	3.735946e-08,	32.288870096206665,	2.211978e-10,	32.43786001205444,	6.399401e-11,	31.990880012512207,	2.196267e-09
90.33101010322571,	0.001835814,	0.0002456989,	0,	32.92565989494324,	3.224211e-12,	32.77666997909546,	2.025189e-10,	32.702670097351074,	4.050411e-09,	32.62768006324768,	3.737955e-08,	32.85166001319885,	2.251079e-10,	33.00064992904663,	6.392198e-11,	32.55367994308472,	2.213814e-09
90.51861000061035,	0.00180149,	0.0002346291,	0,	33.488670110702515,	3.129331e-12,	33.33967995643616,	2.019454e-10,	33.26568007469177,	4.097256e-09,	33.19069004058838,	3.720825e-08,	33.41466999053955,	2.222865e-10,	33.56365990638733,	6.289801e-11,	33.116689920425415,	2.215619e-09
90.67441010475159,	0.001774702,	0.0002464624,	0,	34.05141997337341,	3.242072e-12,	33.902430057525635,	2.024426e-10,	33.82744002342224,	4.062865e-09,	33.75343990325928,	3.749119e-08,	33.9764199256897,	2.242469e-10,	34.125410079956055,	6.400485e-11,	33.67845010757446,	2.215949e-09
90.84740996360779,	0.001747989,	0.0002441721,	0,	34.6143798828125,	3.138336e-12,	34.46538996696472,	2.001115e-10,	34.39039993286133,	4.061044e-09,	34.31640005111694,	3.721814e-08,	34.539390087127686,	2.226823e-10,	34.68836998939514,	6.346532e-11,	34.24141001701355,	2.209473e-09
91.01721000671387,	0.001805295,	0.000260586,	0,	35.17692995071411,	3.10805e-12,	35.02794003486633,	2.037888e-10,	34.95393991470337,	4.093349e-09,	34.87894010543823,	3.717302e-08,	35.10293006896973,	2.231533e-10,	35.251919984817505,	6.210239e-11,	34.80494999885559,	2.205872e-09
91.17320990562439,	0.001770897,	0.0002506613,	0,	35.7398099899292,	3.219811e-12,	35.5908100605011,	2.022693e-10,	35.515820026397705,	4.087631e-09,	35.44181990623474,	3.74039e-08,	35.66480994224548,	2.207746e-10,	35.81380009651184,	6.328023e-11,	35.36683011054993,	2.206475e-09
91.32840991020203,	0.001793804,	0.0002422635,	0,	36.30225992202759,	3.077833e-12,	36.15327000617981,	1.997184e-10,	36.078279972076416,	4.079997e-09,	36.00428009033203,	3.734018e-08,	36.227269887924194,	2.224629e-10,	36.37626004219055,	6.32194e-11,	35.92929005622864,	2.211077e-09
91.48540997505188,	0.003577897,	0.000608715,	0,	36.86500000953674,	3.163528e-12,	36.716010093688965,	2.034307e-10,	36.642009973526,	4.087593e-09,	36.567009925842285,	3.723918e-08,	36.79099988937378,	2.214051e-10,	36.93999004364014,	6.288749e-11,	36.49302005767822,	2.213092e-09
91.65920996665955,	0.007184437,	0.001337801,	0,	37.42708992958069,	3.0068e-12,	37.27810001373291,	1.975059e-10,	37.20410990715027,	4.080118e-09,	37.12911009788513,	3.735942e-08,	37.353090047836304,	2.246776e-10,	37.50207996368408,	6.345029e-11,	37.05511999130249,	2.213336e-09
91.81481003761292,	0.01021016,	0.001906564,	0,	37.98962998390198,	2.991661e-12,	37.84065008163452,	2.003248e-10,	37.765650033950806,	4.08766e-09,	37.691659927368164,	3.711487e-08,	37.914639949798584,	2.24244e-10,	38.06363010406494,	6.357227e-11,	37.61666989326477,	2.207938e-09
92.0020101070404,	0.01406875,	0.002705886,	0,	38.55158996582031,	2.961547e-12,	38.402600049972534,	2.032034e-10,	38.32860994338989,	4.077506e-09,	38.25360989570618,	3.738655e-08,	38.47759008407593,	2.244235e-10,	38.626579999923706,	6.315119e-11,	38.179620027542114,	2.219701e-09
92.17121005058289,	0.01741921,	0.003348703,	0,	39.115220069885254,	2.932366e-12,	38.9662299156189,	2.026808e-10,	38.89223003387451,	4.106094e-09,	38.81723999977112,	3.737209e-08,	39.04121994972229,	2.223065e-10,	39.19021010398865,	6.403027e-11,	38.74324011802673,	2.208647e-09
92.32921004295349,	0.02067415,	0.004076263,	0,	39.67834997177124,	3.027775e-12,	39.52936005592346,	2.032543e-10,	39.45437002182007,	4.068292e-09,	39.380369901657104,	3.734507e-08,	39.60335993766785,	2.236431e-10,	39.752350091934204,	6.250244e-11,	39.30538010597229,	2.221467e-09
