ixdat version = 0.2.2dev
name = 2022-04-07 11_53_00 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649325180.0
backend_name = BackendBase(none, address=none)
id = 5
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
28.639219999313354,	1.119322,	0.0002258495,	0,	35.182379961013794,	3.30222e-12,	35.033390045166016,	1.782421e-10,	34.959399938583374,	3.464157e-09,	34.88439989089966,	3.957911e-08,	35.10839009284973,	1.739263e-10,	35.25738000869751,	3.471597e-11,	34.810410022735596,	2.216084e-09
28.79342007637024,	1.119341,	3.040869e-05,	0,	35.74565005302429,	3.320559e-12,	35.596659898757935,	1.791652e-10,	35.5216600894928,	3.438363e-09,	35.447669982910156,	3.960529e-08,	35.670650005340576,	1.738096e-10,	35.819639921188354,	3.447372e-11,	35.37266993522644,	2.216414e-09
28.949820041656494,	1.119334,	7.430652e-05,	0,	36.3078498840332,	3.218884e-12,	36.158859968185425,	1.784509e-10,	36.08386993408203,	3.444016e-09,	36.00987005233765,	3.979761e-08,	36.232850074768066,	1.725243e-10,	36.381839990615845,	3.554351e-11,	35.93488001823425,	2.220303e-09
29.122420072555542,	1.120193,	0.004586241,	0,	36.87054991722107,	3.099038e-12,	36.72156000137329,	1.818872e-10,	36.64755988121033,	3.4749e-09,	36.57257008552551,	4.015026e-08,	36.796550035476685,	1.745404e-10,	36.94553995132446,	3.543193e-11,	36.49856996536255,	2.21816e-09
29.277820110321045,	1.123169,	0.00118015,	0,	37.433510065078735,	3.147363e-12,	37.28451991081238,	1.832207e-10,	37.20953011512756,	3.498809e-09,	37.1355299949646,	3.98246e-08,	37.35852003097534,	1.756057e-10,	37.50750994682312,	3.558384e-11,	37.060529947280884,	2.220369e-09
29.43481993675232,	1.126241,	0.0003793011,	0,	37.9961199760437,	3.181525e-12,	37.847140073776245,	1.811465e-10,	37.77214002609253,	3.425082e-09,	37.69814991950989,	3.978746e-08,	37.92112994194031,	1.765157e-10,	38.070120096206665,	3.562046e-11,	37.62315011024475,	2.23021e-09
29.59202003479004,	1.129546,	0.0008488171,	0,	38.55896997451782,	3.035885e-12,	38.409980058670044,	1.781197e-10,	38.33597993850708,	3.473514e-09,	38.26098990440369,	3.954298e-08,	38.48498010635376,	1.736556e-10,	38.63397002220154,	3.514556e-11,	38.1869900226593,	2.224948e-09
29.746819972991943,	1.132617,	-0.000330317,	0,	39.12137007713318,	3.329641e-12,	38.97237992286682,	1.780252e-10,	38.89838004112244,	3.445022e-09,	38.82339000701904,	4.009728e-08,	39.047369956970215,	1.741191e-10,	39.196369886398315,	3.447849e-11,	38.74938988685608,	2.224876e-09
29.903019905090332,	1.135907,	-0.0003375697,	0,	39.684669971466064,	3.361726e-12,	39.535680055618286,	1.791514e-10,	39.46068000793457,	3.472474e-09,	39.38668990135193,	3.969815e-08,	39.60967993736267,	1.737334e-10,	39.75867009162903,	3.570918e-11,	39.31169009208679,	2.225317e-09
30.05821990966797,	1.138867,	0.00143094,	0,	40.24697995185852,	3.004767e-12,	40.09799003601074,	1.785813e-10,	40.02398991584778,	3.448151e-09,	39.948999881744385,	3.945933e-08,	40.172980070114136,	1.750661e-10,	40.321979999542236,	3.510713e-11,	39.875,	2.231033e-09
30.212820053100586,	1.141824,	-0.0003402417,	0,	40.80978989601135,	3.042345e-12,	40.660799980163574,	1.804241e-10,	40.58680009841919,	3.487683e-09,	40.511800050735474,	3.947392e-08,	40.73579001426697,	1.74132e-10,	40.884779930114746,	3.523494e-11,	40.43780994415283,	2.224034e-09
30.388020038604736,	1.145389,	0.001247333,	0,	41.37276005744934,	3.28891e-12,	41.22376990318298,	1.791733e-10,	41.14877009391785,	3.488859e-09,	41.07476997375488,	3.983703e-08,	41.297760009765625,	1.735124e-10,	41.4467499256134,	3.549743e-11,	40.99977993965149,	2.231769e-09
30.555819988250732,	1.148743,	-0.0003402417,	0,	41.93548011779785,	3.1238e-12,	41.78647994995117,	1.787374e-10,	41.71148991584778,	3.468317e-09,	41.637490034103394,	3.941589e-08,	41.860480070114136,	1.743099e-10,	42.009469985961914,	3.527678e-11,	41.5625,	2.226238e-09
30.710220098495483,	1.151746,	0.0002300484,	0,	42.498039960861206,	3.140773e-12,	42.34905004501343,	1.781585e-10,	42.275049924850464,	3.459349e-09,	42.20005011558533,	3.988083e-08,	42.42404007911682,	1.767043e-10,	42.57304000854492,	3.572793e-11,	42.126060009002686,	2.231352e-09
30.867820024490356,	1.155043,	0.001147322,	0,	43.06047010421753,	3.080376e-12,	42.91147994995117,	1.794628e-10,	42.83648991584778,	3.504826e-09,	42.762490034103394,	3.958759e-08,	42.985480070114136,	1.758656e-10,	43.134469985961914,	3.55979e-11,	42.6875,	2.227387e-09
