ixdat version = 0.2.2dev
name = 2022-04-07 11_53_00 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649325180.0
backend_name = BackendBase(none, address=none)
id = 5
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
21.54882001876831,	1.119402,	0.0002407366,	0,	10.425729990005493,	3.38448e-12,	10.276730060577393,	1.797693e-10,	10.202729940414429,	3.479194e-09,	10.127739906311035,	3.982679e-08,	10.351730108261108,	1.743543e-10,	10.500730037689209,	3.518863e-11,	10.05374002456665,	2.237168e-09
21.70542001724243,	1.119376,	0.0001101882,	0,	10.988719940185547,	3.271272e-12,	10.839720010757446,	1.815237e-10,	10.765719890594482,	3.491466e-09,	10.690720081329346,	3.963034e-08,	10.914720058441162,	1.75756e-10,	11.063719987869263,	3.573989e-11,	10.616729974746704,	2.242683e-09
21.863620042800903,	1.119341,	-0.0001096827,	0,	11.551330089569092,	3.06576e-12,	11.402329921722412,	1.797084e-10,	11.327339887619019,	3.514531e-09,	11.253340005874634,	3.984e-08,	11.476330041885376,	1.752824e-10,	11.625319957733154,	3.615543e-11,	11.17834997177124,	2.237629e-09
22.018419981002808,	1.119345,	-9.632246e-05,	0,	12.113450050354004,	3.189248e-12,	11.964459896087646,	1.803233e-10,	11.890460014343262,	3.466958e-09,	11.815459966659546,	3.972815e-08,	12.03944993019104,	1.749011e-10,	12.18845009803772,	3.553266e-11,	11.741470098495483,	2.234678e-09
22.173219919204712,	1.119414,	0.0003014301,	0,	12.675559997558594,	3.158982e-12,	12.526580095291138,	1.813413e-10,	12.452579975128174,	3.462054e-09,	12.37758994102478,	3.97729e-08,	12.601569890975952,	1.759892e-10,	12.750550031661987,	3.505133e-11,	12.303600072860718,	2.228947e-09
22.329619884490967,	1.119391,	-0.0001203708,	0,	13.239039897918701,	3.205065e-12,	13.090049982070923,	1.794048e-10,	13.01505994796753,	3.429938e-09,	12.941060066223145,	3.968129e-08,	13.164050102233887,	1.752415e-10,	13.313040018081665,	3.561667e-11,	12.866070032119751,	2.223773e-09
22.485219955444336,	1.119303,	-6.998375e-05,	0,	13.800230026245117,	3.390485e-12,	13.651259899139404,	1.819684e-10,	13.576280117034912,	3.44147e-09,	13.50229001045227,	3.983849e-08,	13.725250005722046,	1.769282e-10,	13.87421989440918,	3.567763e-11,	13.4273099899292,	2.225178e-09
22.64102005958557,	1.11936,	-5.547839e-05,	0,	14.363409996032715,	3.39134e-12,	14.214420080184937,	1.808519e-10,	14.140429973602295,	3.493587e-09,	14.065439939498901,	3.987195e-08,	14.289419889450073,	1.732229e-10,	14.438400030136108,	3.487556e-11,	13.991450071334839,	2.22684e-09
22.796819925308228,	1.119334,	-7.074719e-05,	0,	14.926350116729736,	3.305221e-12,	14.777359962463379,	1.795347e-10,	14.702369928359985,	3.472675e-09,	14.628380060195923,	3.973482e-08,	14.851360082626343,	1.72573e-10,	15.000339984893799,	3.509013e-11,	14.55339002609253,	2.232256e-09
22.96742010116577,	1.119372,	5.407535e-05,	0,	15.490000009536743,	3.350644e-12,	15.341010093688965,	1.778145e-10,	15.266010046005249,	3.437494e-09,	15.192019939422607,	3.982238e-08,	15.41500997543335,	1.76283e-10,	15.563999891281128,	3.530018e-11,	15.117019891738892,	2.219178e-09
