ixdat version = 0.2.2dev
name = 2022-04-26 12_31_02 HER_repetition_1
technique = EC-MS
tstamp = 1650969062.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'Potential time [s]' for: 'Voltage [V]' and 'Current [mA]' and 'selector'
timecol 'C3M32 time [s]' for: 'M32'
timecol 'C2M28 time [s]' for: 'M28'
timecol 'C5M44 time [s]' for: 'M44'
timecol 'C6M18 time [s]' for: 'M18'
timecol 'C1M4 time [s]' for: 'M4'
timecol 'C0M2 time [s]' for: 'M2'
timecol 'C4M40 time [s]' for: 'M40'
aliases = {"M2": ["M2 [A]"], "M4": ["M4 [A]"], "M28": ["M28 [A]"], "M32": ["M32 [A]"], "M40": ["M40 [A]"], "M44": ["M44 [A]"], "M18": ["M18 [A]"], "t": ["Potential time [s]"], "raw_potential": ["Voltage [V]"], "raw_current": ["Current [mA]"], "cycle": ["Cycle [n]"]}
N_header_lines = 18

Potential time [s],	Voltage [V],	Current [mA],	selector,	C3M32 time [s],	M32,	C2M28 time [s],	M28,	C5M44 time [s],	M44,	C6M18 time [s],	M18,	C1M4 time [s],	M4,	C0M2 time [s],	M2,	C4M40 time [s],	M40
285.326299905777,	0.9445279,	-0.0001531988,	0,	8.622704982757568,	2.169435e-08,	8.547705888748169,	8.529423e-08,	8.771701097488403,	8.421344e-11,	8.845700025558472,	1.606238e-09,	8.473707914352417,	8.972412e-12,	8.398709058761597,	1.639719e-09,	8.69670295715332,	8.761188e-10
285.4823000431061,	0.9445317,	-0.0002009138,	0,	9.185632944107056,	2.157024e-08,	9.110635042190552,	8.558526e-08,	9.33462905883789,	8.19804e-11,	9.408626079559326,	1.608074e-09,	9.0366370677948,	9.098876e-12,	8.961638927459717,	1.650678e-09,	9.259630918502808,	8.854145e-10
285.64310002326965,	0.9445278,	1.972052e-05,	0,	9.747097969055176,	2.182418e-08,	9.673104047775269,	8.543611e-08,	9.896085977554321,	7.90959e-11,	9.97108006477356,	1.594187e-09,	9.59810996055603,	9.02676e-12,	9.52411699295044,	1.642936e-09,	9.822092056274414,	8.828932e-10
285.79590010643005,	0.9445469,	3.306544e-06,	0,	10.310070037841797,	2.201755e-08,	10.235080003738403,	8.553432e-08,	10.459059953689575,	8.231101e-11,	10.533050060272217,	1.600011e-09,	10.16107988357544,	9.098111e-12,	10.086090087890625,	1.648405e-09,	10.384069919586182,	8.689246e-10
285.96690011024475,	0.944505,	6.43818e-05,	0,	10.874200105667114,	2.172913e-08,	10.799200057983398,	8.585448e-08,	11.023210048675537,	7.939257e-11,	11.097209930419922,	1.608589e-09,	10.725199937820435,	9.143662e-12,	10.650190114974976,	1.646503e-09,	10.948199987411499,	8.70706e-10
286.123300075531,	0.9444896,	0.0001277474,	0,	11.436219930648804,	2.147536e-08,	11.362210035324097,	8.52615e-08,	11.585220098495483,	8.033309e-11,	11.66021990776062,	1.599549e-09,	11.28720998764038,	8.731138e-12,	11.213210105895996,	1.648953e-09,	11.51121997833252,	8.790511e-10
286.2955000400543,	0.9445546,	-0.0001535805,	0,	11.998909950256348,	2.152554e-08,	11.924910068511963,	8.596724e-08,	12.147910118103027,	8.046529e-11,	12.222909927368164,	1.590533e-09,	11.849910020828247,	9.11795e-12,	11.775909900665283,	1.651262e-09,	12.073909997940063,	8.812021e-10
286.451299905777,	0.944589,	0.0002285215,	0,	12.561919927597046,	2.137707e-08,	12.48692011833191,	8.636013e-08,	12.710920095443726,	8.060074e-11,	12.78491997718811,	1.588084e-09,	12.412919998168945,	9.203292e-12,	12.33791995048523,	1.64391e-09,	12.63592004776001,	8.750254e-10
286.6222999095917,	0.9445011,	-9.365041e-05,	0,	13.123909950256348,	2.145381e-08,	13.049910068511963,	8.610182e-08,	13.272910118103027,	8.125887e-11,	13.347909927368164,	1.59633e-09,	12.974910020828247,	8.778436e-12,	12.900909900665283,	1.653491e-09,	13.198909997940063,	8.755013e-10
286.7950999736786,	0.9445164,	-7.761816e-05,	0,	13.687010049819946,	2.191356e-08,	13.613009929656982,	8.558525e-08,	13.836009979248047,	8.214184e-11,	13.911010026931763,	1.597438e-09,	13.538009881973267,	8.7606e-12,	13.464010000228882,	1.637926e-09,	13.762010097503662,	8.84359e-10
