ixdat version = 0.2.2dev
name = 2022-04-07 13_20_11 HER on Pt repeatability non-aqu.tsv
technique = EC-MS
tstamp = 1649330411.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
338.4797999858856,	0.9295928,	2.161384e-06,	0,	10.477960109710693,	9.166005e-10,	10.328969955444336,	8.179813e-08,	10.254980087280273,	2.52515e-09,	10.17999005317688,	4.177013e-09,	10.403970003128052,	2.224174e-08,	10.552949905395508,	1.434279e-10,	10.105989933013916,	1.861757e-09
338.65199995040894,	0.9296158,	0.0006041343,	0,	11.041709899902344,	9.14771e-10,	10.892719984054565,	8.189272e-08,	10.81771993637085,	2.526789e-09,	10.743720054626465,	4.201499e-09,	10.966710090637207,	2.220472e-08,	11.115710020065308,	1.44659e-10,	10.668720006942749,	1.868008e-09
338.8243999481201,	0.9296234,	0.0004655698,	0,	11.603699922561646,	9.196826e-10,	11.454699993133545,	8.244933e-08,	11.380709886550903,	2.50798e-09,	11.305710077285767,	4.191652e-09,	11.52970004081726,	2.237065e-08,	11.678699970245361,	1.444358e-10,	11.231709957122803,	1.866846e-09
338.98099994659424,	0.9296464,	-0.0005024729,	0,	12.165610074996948,	9.114401e-10,	12.016629934310913,	8.275492e-08,	11.94264006614685,	2.513927e-09,	11.867650032043457,	4.20704e-09,	12.091619968414307,	2.245701e-08,	12.240609884262085,	1.445844e-10,	11.793649911880493,	1.857036e-09
339.1366000175476,	0.9296082,	0.0001605753,	0,	12.728630065917969,	9.157058e-10,	12.579649925231934,	8.258758e-08,	12.50465989112854,	2.565115e-09,	12.430660009384155,	4.210624e-09,	12.653640031814575,	2.225328e-08,	12.802629947662354,	1.465232e-10,	12.355669975280762,	1.858161e-09
339.29439997673035,	0.9295967,	0.0007877418,	0,	13.291039943695068,	9.229114e-10,	13.142060041427612,	8.240568e-08,	13.067070007324219,	2.513475e-09,	12.993079900741577,	4.201783e-09,	13.216049909591675,	2.230917e-08,	13.36503005027771,	1.440481e-10,	12.918100118637085,	1.863681e-09
339.45239996910095,	0.9296311,	0.0002094355,	0,	13.853800058364868,	9.239454e-10,	13.704819917678833,	8.277311e-08,	13.630820035934448,	2.52664e-09,	13.555830001831055,	4.200093e-09,	13.779809951782227,	2.20351e-08,	13.928800106048584,	1.445766e-10,	13.48182988166809,	1.863007e-09
339.62339997291565,	0.9296082,	0.0001281291,	0,	14.416660070419312,	9.19708e-10,	14.267669916152954,	8.300231e-08,	14.19267988204956,	2.523425e-09,	14.118690013885498,	4.177099e-09,	14.341670036315918,	2.226158e-08,	14.490649938583374,	1.444496e-10,	14.043689966201782,	1.857881e-09
339.7997999191284,	0.9296082,	5.751083e-05,	0,	14.979640007019043,	9.159418e-10,	14.830650091171265,	8.248208e-08,	14.755660057067871,	2.509139e-09,	14.681659936904907,	4.228119e-09,	14.904639959335327,	2.223066e-08,	15.053630113601685,	1.439378e-10,	14.606669902801514,	1.862706e-09
339.98340010643005,	0.9295853,	-0.000664704,	0,	15.541589975357056,	9.173228e-10,	15.392600059509277,	8.220194e-08,	15.318609952926636,	2.526192e-09,	15.24360990524292,	4.198137e-09,	15.467590093612671,	2.236626e-08,	15.61658000946045,	1.424757e-10,	15.169620037078857,	1.867678e-09
340.1405999660492,	0.9296693,	-7.723644e-05,	0,	16.103660106658936,	9.172554e-10,	15.9546799659729,	8.220197e-08,	15.880690097808838,	2.514945e-09,	15.805700063705444,	4.197091e-09,	16.029670000076294,	2.221505e-08,	16.17864990234375,	1.408917e-10,	15.731709957122803,	1.855853e-09
340.29940009117126,	0.9296616,	0.0002025646,	0,	16.66777992248535,	9.175422e-10,	16.518790006637573,	8.217286e-08,	16.44379997253418,	2.517761e-09,	16.369800090789795,	4.16485e-09,	16.592789888381958,	2.218863e-08,	16.741780042648315,	1.432384e-10,	16.2948100566864,	1.866181e-09
340.4546000957489,	0.9296272,	-0.0005039998,	0,	17.229830026626587,	9.183331e-10,	17.08084011077881,	8.206006e-08,	17.006850004196167,	2.530604e-09,	16.93184995651245,	4.181185e-09,	17.155839920043945,	2.238242e-08,	17.304830074310303,	1.440956e-10,	16.85786008834839,	1.864291e-09
340.6256000995636,	0.9296158,	0.0004705322,	0,	17.79256010055542,	9.263045e-10,	17.643569946289062,	8.284585e-08,	17.569580078125,	2.497576e-09,	17.494580030441284,	4.222803e-09,	17.71856999397278,	2.235562e-08,	17.867559909820557,	1.442711e-10,	17.420589923858643,	1.860185e-09
340.7980000972748,	0.9296044,	-0.0001715214,	0,	18.356549978256226,	9.155454e-10,	18.207550048828125,	8.244932e-08,	18.13255000114441,	2.498266e-09,	18.058549880981445,	4.202901e-09,	18.28154993057251,	2.218192e-08,	18.430540084838867,	1.430367e-10,	17.98355007171631,	1.863185e-09
340.94199991226196,	0.9296272,	0.0004419032,	0,	18.919529914855957,	9.136732e-10,	18.77053999900818,	8.217646e-08,	18.695539951324463,	2.489268e-09,	18.621540069580078,	4.180405e-09,	18.844540119171143,	2.243559e-08,	18.99353003501892,	1.406938e-10,	18.546540021896362,	1.852508e-09
341.0945999622345,	0.9296387,	8.194093e-05,	0,	19.480639934539795,	9.178613e-10,	19.331650018692017,	8.32169e-08,	19.257659912109375,	2.494209e-09,	19.18266010284424,	4.207786e-09,	19.406650066375732,	2.233838e-08,	19.55563998222351,	1.411412e-10,	19.108669996261597,	1.868333e-09
341.25020003318787,	0.9296731,	0.000473586,	0,	20.04293990135193,	9.211108e-10,	19.89394998550415,	8.318416e-08,	19.818959951400757,	2.499094e-09,	19.744970083236694,	4.189231e-09,	19.967950105667114,	2.226089e-08,	20.11693000793457,	1.426469e-10,	19.6699800491333,	1.856687e-09
341.39299988746643,	0.9296311,	0.0002724194,	0,	20.606280088424683,	9.158016e-10,	20.457289934158325,	8.277304e-08,	20.38229990005493,	2.531816e-09,	20.308300018310547,	4.21876e-09,	20.53129005432129,	2.244941e-08,	20.680269956588745,	1.400009e-10,	20.233309984207153,	1.856071e-09
341.55019998550415,	0.9296044,	0.0002369194,	0,	21.16825008392334,	9.112143e-10,	21.019259929656982,	8.25293e-08,	20.94527006149292,	2.50645e-09,	20.870270013809204,	4.178358e-09,	21.094249963760376,	2.210526e-08,	21.243240118026733,	1.417766e-10,	20.796279907226562,	1.86514e-09
341.7084000110626,	0.9296731,	0.0002873065,	0,	21.731339931488037,	9.174296e-10,	21.58235001564026,	8.230375e-08,	21.508359909057617,	2.488405e-09,	21.43336009979248,	4.20664e-09,	21.657340049743652,	2.216055e-08,	21.80632996559143,	1.403012e-10,	21.35936999320984,	1.86703e-09
341.90499997138977,	0.9296387,	-8.145064e-06,	0,	22.294389963150024,	9.19809e-10,	22.145400047302246,	8.250748e-08,	22.07039999961853,	2.483652e-09,	21.99640989303589,	4.210601e-09,	22.21938991546631,	2.229543e-08,	22.368380069732666,	1.438067e-10,	21.921420097351074,	1.862478e-09
342.09739995002747,	0.9296654,	-0.0007238706,	0,	22.85634994506836,	9.146586e-10,	22.70736002922058,	8.25475e-08,	22.63336992263794,	2.505029e-09,	22.558370113372803,	4.195335e-09,	22.782360076904297,	2.227555e-08,	22.931349992752075,	1.462066e-10,	22.48438000679016,	1.859167e-09
342.25239992141724,	0.9296387,	1.475815e-05,	0,	23.419310092926025,	9.108274e-10,	23.270319938659668,	8.255115e-08,	23.196330070495605,	2.505699e-09,	23.12133002281189,	4.2123e-09,	23.345319986343384,	2.212805e-08,	23.494309902191162,	1.434965e-10,	23.047339916229248,	1.859055e-09
342.4105999469757,	0.9296387,	0.0001705,	0,	23.98144006729126,	9.138511e-10,	23.832459926605225,	8.288218e-08,	23.75746989250183,	2.497154e-09,	23.683470010757446,	4.206719e-09,	23.906450033187866,	2.219762e-08,	24.055429935455322,	1.426526e-10,	23.608479976654053,	1.870212e-09
