ixdat version = 0.2.2dev
name = 2022-04-07 10_10_27 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649319027.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
659.487900018692,	0.9211661,	9.491942e-05,	0,	10.474740028381348,	9.04592e-10,	10.325759887695312,	8.527238e-08,	10.250760078430176,	3.77997e-09,	10.176769971847534,	1.232153e-12,	10.399749994277954,	2.069386e-08,	10.54872989654541,	1.335079e-10,	10.10177993774414,	1.754131e-09
659.6740999221802,	0.9211623,	-4.82257e-05,	0,	11.038249969482422,	8.991629e-10,	10.889260053634644,	8.488676e-08,	10.81427001953125,	3.763315e-09,	10.740269899368286,	1.09965e-12,	10.963259935379028,	2.07722e-08,	11.112250089645386,	1.339162e-10,	10.66527009010315,	1.762074e-09
659.8304998874664,	0.9211928,	-0.0003051235,	0,	11.600219964981079,	9.003189e-10,	11.4512300491333,	8.559254e-08,	11.377229928970337,	3.773181e-09,	11.302239894866943,	1.159108e-12,	11.526220083236694,	2.074227e-08,	11.675209999084473,	1.367543e-10,	11.228240013122559,	1.756947e-09
659.9867000579834,	0.9211814,	-0.0002135106,	0,	12.163399934768677,	9.033029e-10,	12.014400005340576,	8.472669e-08,	11.940409898757935,	3.770733e-09,	11.865410089492798,	1.31149e-12,	12.089400053024292,	2.063728e-08,	12.23838996887207,	1.340327e-10,	11.791409969329834,	1.752408e-09
660.1414999961853,	0.9211738,	-0.0001203708,	0,	12.72603988647461,	9.008795e-10,	12.577049970626831,	8.516688e-08,	12.502049922943115,	3.764785e-09,	12.428060054779053,	1.125288e-12,	12.651040077209473,	2.07663e-08,	12.800029993057251,	1.338169e-10,	12.353060007095337,	1.746267e-09
660.2967000007629,	0.9212005,	-0.0001635052,	0,	13.288140058517456,	9.043522e-10,	13.139149904251099,	8.504684e-08,	13.065150022506714,	3.699921e-09,	12.99015998840332,	1.296696e-12,	13.214149951934814,	2.07857e-08,	13.363140106201172,	1.354601e-10,	12.916160106658936,	1.747414e-09
660.4681000709534,	0.9212196,	-0.0002455751,	0,	13.850680112838745,	9.012413e-10,	13.70169997215271,	8.498862e-08,	13.627700090408325,	3.720373e-09,	13.552710056304932,	1.105081e-12,	13.776690006256104,	2.109243e-08,	13.925679922103882,	1.348222e-10,	13.47871994972229,	1.740262e-09
660.6317000389099,	0.9211814,	-0.0004009353,	0,	14.413949966430664,	9.018028e-10,	14.264960050582886,	8.514871e-08,	14.189970016479492,	3.715641e-09,	14.115969896316528,	1.092435e-12,	14.33895993232727,	2.051129e-08,	14.487950086593628,	1.294396e-10,	14.040980100631714,	1.743338e-09
660.7967000007629,	0.9211623,	-4.135474e-05,	0,	14.97691011428833,	8.991563e-10,	14.827919960021973,	8.449386e-08,	14.752929925918579,	3.730931e-09,	14.678930044174194,	1.042472e-12,	14.901920080184937,	2.089669e-08,	15.050909996032715,	1.290656e-10,	14.6039400100708,	1.7507e-09
660.9690999984741,	0.9212196,	9.797318e-05,	0,	15.538830041885376,	9.013184e-10,	15.389839887619019,	8.504683e-08,	15.315840005874634,	3.70861e-09,	15.24084997177124,	1.259027e-12,	15.464829921722412,	2.079103e-08,	15.61382007598877,	1.26084e-10,	15.166850090026855,	1.750191e-09
661.1414999961853,	0.9211929,	0.0001002635,	0,	16.10138988494873,	9.052606e-10,	15.952409982681274,	8.52142e-08,	15.877409934997559,	3.717128e-09,	15.803420066833496,	1.137341e-12,	16.026400089263916,	2.078014e-08,	16.175390005111694,	1.26955e-10,	15.728430032730103,	1.739925e-09
