ixdat version = 0.2.2dev
name = 2022-03-30 12_51_35 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1648637495.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
98.67641997337341,	0.8719917,	-8.677188e-05,	0,	10.48744010925293,	3.300052e-12,	10.338429927825928,	1.848517e-10,	10.26442003250122,	3.19659e-09,	10.189419984817505,	3.996689e-08,	10.413439989089966,	1.128223e-10,	10.562449932098389,	4.144647e-11,	10.115410089492798,	8.470397e-10
98.833820104599,	0.872007,	-2.569663e-05,	0,	11.050159931182861,	3.258193e-12,	10.901149988174438,	1.822821e-10,	10.827150106430054,	3.1991e-09,	10.752140045166016,	3.999963e-08,	10.976160049438477,	1.123967e-10,	11.1251699924469,	4.162481e-11,	10.678139925003052,	8.429453e-10
98.97302007675171,	0.8719993,	-0.000157581,	0,	11.613199949264526,	3.353196e-12,	11.464190006256104,	1.829852e-10,	11.389179944992065,	3.191088e-09,	11.31518006324768,	3.988323e-08,	11.538189888000488,	1.12935e-10,	11.68720006942749,	4.153632e-11,	11.240170001983643,	8.513268e-10
99.11482000350952,	0.8720146,	0.0001183264,	0,	12.175009965896606,	3.160829e-12,	12.026010036468506,	1.829186e-10,	11.95100998878479,	3.187489e-09,	11.877019882202148,	3.987231e-08,	12.10000991821289,	1.133248e-10,	12.249000072479248,	4.145121e-11,	11.802020072937012,	8.451712e-10
99.2756199836731,	0.8719687,	-4.898157e-05,	0,	12.737689971923828,	3.269857e-12,	12.588690042495728,	1.828495e-10,	12.514689922332764,	3.17714e-09,	12.439690113067627,	3.978499e-08,	12.663690090179443,	1.133784e-10,	12.812690019607544,	4.183301e-11,	12.365689992904663,	8.485205e-10
99.44702005386353,	0.8719802,	-0.0001822783,	0,	13.300390005111694,	3.445115e-12,	13.151390075683594,	1.82103e-10,	13.076390027999878,	3.177968e-09,	13.002389907836914,	3.982683e-08,	13.225389957427979,	1.124703e-10,	13.374389886856079,	4.118915e-11,	12.927390098571777,	8.458858e-10
99.60362005233765,	0.8719955,	0.0002097485,	0,	13.862689971923828,	3.386814e-12,	13.713690042495728,	1.825343e-10,	13.638700008392334,	3.173314e-09,	13.56469988822937,	3.980499e-08,	13.787689924240112,	1.125735e-10,	13.93668007850647,	4.064996e-11,	13.489710092544556,	8.432436e-10
99.76121997833252,	0.8720031,	0.0001513452,	0,	14.424920082092285,	3.105622e-12,	14.275919914245605,	1.818705e-10,	14.201930046081543,	3.164942e-09,	14.126929998397827,	3.9865e-08,	14.350919961929321,	1.119498e-10,	14.499919891357422,	4.163328e-11,	14.052930116653442,	8.402178e-10
99.91682004928589,	0.8720566,	6.797753e-05,	0,	14.988120079040527,	3.385272e-12,	14.83912992477417,	1.806713e-10,	14.765130043029785,	3.174493e-09,	14.69012999534607,	3.97595e-08,	14.914119958877563,	1.125479e-10,	15.063119888305664,	4.118794e-11,	14.616130113601685,	8.438125e-10
100.07200002670288,	0.8719878,	-0.000222588,	0,	15.551110029220581,	3.111188e-12,	15.402120113372803,	1.816573e-10,	15.327120065689087,	3.182189e-09,	15.253119945526123,	3.973401e-08,	15.476109981536865,	1.122605e-10,	15.625109910964966,	4.139912e-11,	15.178119897842407,	8.445495e-10
100.2279999256134,	0.8719763,	9.038451e-05,	0,	16.113830089569092,	3.436482e-12,	15.96481990814209,	1.819405e-10,	15.890820026397705,	3.182832e-09,	15.81581997871399,	3.974674e-08,	16.039819955825806,	1.122162e-10,	16.18882989883423,	4.175088e-11,	15.741820096969604,	8.420661e-10
100.39720010757446,	0.872007,	2.686626e-05,	0,	16.6771399974823,	3.301572e-12,	16.5281400680542,	1.827602e-10,	16.454129934310913,	3.170143e-09,	16.379129886627197,	3.961398e-08,	16.603140115737915,	1.123382e-10,	16.752150058746338,	4.106638e-11,	16.305130004882812,	8.449449e-10
100.5699999332428,	0.8719534,	-8.261113e-05,	0,	17.239830017089844,	3.241654e-12,	17.090830087661743,	1.814095e-10,	17.015830039978027,	3.175784e-09,	16.94181990623474,	3.984315e-08,	17.164829969406128,	1.123016e-10,	17.31382989883423,	4.083309e-11,	16.866820096969604,	8.465026e-10
100.73480010032654,	0.871942,	-0.0001604057,	0,	17.80261993408203,	3.110466e-12,	17.65362000465393,	1.819382e-10,	17.578619956970215,	3.171914e-09,	17.50462007522583,	3.970309e-08,	17.727619886398315,	1.130288e-10,	17.876620054244995,	4.146019e-11,	17.429620027542114,	8.501121e-10
100.88299989700317,	0.8720184,	-6.707512e-05,	0,	18.36485004425049,	3.214903e-12,	18.215850114822388,	1.818796e-10,	18.141849994659424,	3.174854e-09,	18.066839933395386,	3.984316e-08,	18.290849924087524,	1.120608e-10,	18.439850091934204,	4.135539e-11,	17.992840051651,	8.386354e-10
101.04159998893738,	0.8720223,	0.0001979151,	0,	18.927860021591187,	3.17602e-12,	18.778860092163086,	1.825494e-10,	18.70386004447937,	3.180535e-09,	18.629859924316406,	3.969037e-08,	18.85285997390747,	1.13344e-10,	19.001869916915894,	4.136875e-11,	18.55486011505127,	8.468993e-10
101.20059990882874,	0.8720145,	2.133131e-05,	0,	19.49106001853943,	3.106099e-12,	19.342050075531006,	1.81196e-10,	19.26705002784729,	3.181484e-09,	19.193049907684326,	3.990865e-08,	19.41604995727539,	1.115102e-10,	19.565059900283813,	4.177587e-11,	19.118040084838867,	8.464193e-10
101.35459995269775,	0.8720413,	-6.190722e-06,	0,	20.052299976348877,	3.323567e-12,	19.903300046920776,	1.826045e-10,	19.829299926757812,	3.154357e-09,	19.754300117492676,	3.965399e-08,	19.978300094604492,	1.118403e-10,	20.127300024032593,	4.080022e-11,	19.680299997329712,	8.438529e-10
101.51020002365112,	0.872007,	-0.0001253256,	0,	20.615560054779053,	3.31108e-12,	20.466559886932373,	1.814152e-10,	20.39256000518799,	3.176351e-09,	20.317559957504272,	3.965217e-08,	20.54155993461609,	1.123198e-10,	20.69056010246277,	4.11545e-11,	20.243560075759888,	8.428535e-10
101.68300008773804,	0.8719764,	6.520563e-06,	0,	21.178319931030273,	3.455151e-12,	21.029320001602173,	1.812458e-10,	20.954319953918457,	3.161021e-09,	20.880320072174072,	3.9694e-08,	21.103319883346558,	1.113061e-10,	21.252320051193237,	4.061254e-11,	20.805320024490356,	8.425059e-10
101.82459998130798,	0.8719572,	6.396947e-05,	0,	21.740540027618408,	3.224177e-12,	21.591540098190308,	1.804005e-10,	21.517539978027344,	3.16451e-09,	21.442539930343628,	3.968674e-08,	21.666539907455444,	1.112182e-10,	21.815540075302124,	4.119867e-11,	21.368540048599243,	8.422511e-10
102.04200005531311,	0.8719687,	0.0001495512,	0,	22.30378007888794,	3.308823e-12,	22.15477991104126,	1.817636e-10,	22.080780029296875,	3.173444e-09,	22.00577998161316,	3.966491e-08,	22.229779958724976,	1.108686e-10,	22.378779888153076,	4.185478e-11,	21.931780099868774,	8.394204e-10
102.26460003852844,	0.872007,	9.07809e-06,	0,	22.866790056228638,	3.286221e-12,	22.717789888381958,	1.812782e-10,	22.64279007911682,	3.164835e-09,	22.568789958953857,	3.978132e-08,	22.791790008544922,	1.103446e-10,	22.940789937973022,	4.1356e-11,	22.49377989768982,	8.403442e-10
